data/example/single_test/ln/ln346235, solver: z3, result: False, time:0.2812628746032715
data/example/single_test/ln/ln346209, solver: z3, result: False, time:0.31020522117614746
data/example/single_test/ln/ln345264, solver: z3, result: False, time:0.31807589530944824
data/example/single_test/ln/ln345254, solver: z3, result: False, time:0.31485462188720703
data/example/single_test/ln/ln345244, solver: z3, result: False, time:0.2808527946472168
data/example/single_test/ln/ln254488, solver: z3, result: False, time:1.047835111618042
data/example/single_test/ln/ln338416, solver: z3, result: False, time:0.7439131736755371
data/example/single_test/ln/ln346179, solver: z3, result: False, time:0.2655026912689209
data/example/single_test/ln/ln345275, solver: z3, result: False, time:0.5152080059051514
data/example/single_test/ln/ln259543, solver: z3, result: False, time:23.672740697860718
data/example/single_test/ln/ln684413, solver: z3, result: False, time:27.93850350379944
data/example/single_test/ln/ln684052, solver: z3, result: False, time:26.108142614364624
data/example/single_test/ln/ln710853, solver: z3, result: False, time:4.541252374649048
data/example/single_test/ln/ln687253, solver: z3, result: False, time:38.767435789108276
data/example/single_test/ln/ln688684, solver: z3, result: False, time:42.500460147857666
data/example/single_test/ln/ln682969, solver: z3, result: False, time:11.238723993301392
data/example/single_test/ln/ln683332, solver: z3, result: False, time:20.536360263824463
data/example/single_test/ln/ln345234, solver: z3, result: False, time:0.2930777072906494
data/example/single_test/ln/ln261413, solver: z3, result: False, time:0.8776860237121582
data/example/single_test/ln/ln346199, solver: z3, result: False, time:0.3620188236236572
data/example/single_test/ln/ln683687, solver: z3, result: False, time:18.90655493736267
data/example/single_test/ln/ln685986, solver: z3, result: False, time:34.46829795837402
data/example/single_test/ln/ln346189, solver: z3, result: False, time:0.2693145275115967
data/example/single_test/ln/ln705126, solver: z3, result: False, time:62.062641859054565
data/example/single_test/ln/ln345352, solver: z3, result: False, time:11.547164916992188
data/example/single_test/ln/ln346220, solver: z3, result: False, time:0.5449278354644775
data/example/single_test/ln/ln346301, solver: z3, result: False, time:15.358032464981079
data/example/single_test/ln/ln691395, solver: z3, result: False, time:47.14120626449585
data/example/single_test/arch/arch20873, solver: z3, result: False, time:0.22561144828796387
data/example/single_test/arch/arch23089, solver: z3, result: False, time:0.4834864139556885
data/example/single_test/arch/arch25904, solver: z3, result: False, time:0.34075188636779785
data/example/single_test/arch/arch26468, solver: z3, result: False, time:0.27240514755249023
data/example/single_test/arch/arch20833, solver: z3, result: False, time:0.46458959579467773
data/example/single_test/arch/arch29662, solver: z3, result: False, time:0.2875678539276123
data/example/single_test/arch/arch20247, solver: z3, result: False, time:0.28101229667663574
data/example/single_test/arch/arch26657, solver: z3, result: False, time:0.7309765815734863
data/example/single_test/arch/arch26616, solver: z3, result: False, time:0.5167255401611328
data/example/single_test/arch/arch25915, solver: z3, result: False, time:0.4550461769104004
data/example/single_test/arch/arch20268, solver: z3, result: False, time:0.457852840423584
data/example/single_test/arch/arch16731, solver: z3, result: False, time:19.608559370040894
data/example/single_test/arch/arch20823, solver: z3, result: False, time:0.5517199039459229
data/example/single_test/arch/arch23203, solver: z3, result: False, time:0.29283761978149414
data/example/single_test/arch/arch21505, solver: z3, result: False, time:0.46072959899902344
data/example/single_test/arch/arch20686, solver: z3, result: False, time:0.3835568428039551
data/example/single_test/ln/ln680552, solver: z3, result: False, time:50.95996427536011
data/example/single_test/ln/ln703689, solver: z3, result: False, time:49.91193127632141
data/example/single_test/ln/ln690110, solver: z3, result: False, time:48.974764823913574
data/example/single_test/arch/arch23120, solver: z3, result: False, time:0.6746056079864502
data/example/single_test/arch/arch20656, solver: z3, result: False, time:0.2901926040649414
data/example/single_test/arch/arch22792, solver: z3, result: False, time:14.896941423416138
data/example/single_test/arch/arch25928, solver: z3, result: False, time:0.6817576885223389
data/example/single_test/arch/arch29672, solver: z3, result: False, time:0.2785642147064209
data/example/single_test/arch/arch24522, solver: z3, result: False, time:0.3910188674926758
data/example/single_test/arch/arch20843, solver: z3, result: False, time:0.4988071918487549
data/example/single_test/ln/ln597016, solver: z3, result: False, time:81.10842061042786
data/example/single_test/arch/arch28780, solver: z3, result: False, time:0.34865832328796387
data/example/single_test/arch/arch24878, solver: z3, result: False, time:0.4595932960510254
data/example/single_test/arch/arch28015, solver: z3, result: False, time:0.7748332023620605
data/example/single_test/arch/arch27945, solver: z3, result: False, time:18.051348209381104
data/example/single_test/arch/arch28770, solver: z3, result: False, time:0.27227783203125
data/example/single_test/arch/arch28004, solver: z3, result: False, time:0.7157812118530273
data/example/single_test/arch/arch24867, solver: z3, result: False, time:0.4013993740081787
data/example/single_test/ln/ln346480, solver: z3, result: unknown, time:300.00820899009705
data/example/single_test/arch/arch24502, solver: z3, result: False, time:0.2889125347137451
data/example/single_test/arch/arch26448, solver: z3, result: False, time:0.2684605121612549
data/example/single_test/arch/arch27217, solver: z3, result: unknown, time:300.00854897499084
data/example/single_test/arch/arch20778, solver: z3, result: unknown, time:300.00914454460144
data/example/single_test/arch/arch28811, solver: z3, result: False, time:0.47771120071411133
data/example/single_test/arch/arch24960, solver: z3, result: unknown, time:300.0127649307251
data/example/single_test/arch/arch24492, solver: z3, result: False, time:0.2746884822845459
data/example/single_test/arch/arch26646, solver: z3, result: False, time:0.5453305244445801
data/example/single_test/arch/arch21594, solver: z3, result: unknown, time:300.0080487728119
data/example/single_test/arch/arch28790, solver: z3, result: False, time:0.35053086280822754
data/example/single_test/arch/arch25874, solver: z3, result: False, time:0.3496534824371338
data/example/single_test/arch/arch16877, solver: z3, result: False, time:15.25223422050476
data/example/single_test/arch/arch27144, solver: z3, result: False, time:0.34985876083374023
data/example/single_test/arch/arch20854, solver: z3, result: False, time:0.7284629344940186
data/example/single_test/arch/arch21418, solver: z3, result: False, time:16.566502332687378
data/example/single_test/arch/arch27993, solver: z3, result: False, time:0.6921944618225098
data/example/single_test/arch/arch20697, solver: z3, result: False, time:0.49698543548583984
data/example/single_test/arch/arch26003, solver: z3, result: unknown, time:300.0102937221527
data/example/single_test/arch/arch26175, solver: z3, result: False, time:16.325313806533813
data/example/single_test/arch/arch28899, solver: z3, result: unknown, time:300.0119276046753
data/example/single_test/arch/arch25894, solver: z3, result: False, time:0.32675862312316895
data/example/single_test/arch/arch24857, solver: z3, result: False, time:0.33585453033447266
data/example/single_test/arch/arch25355, solver: z3, result: unknown, time:300.0127682685852
data/example/single_test/arch/arch20676, solver: z3, result: False, time:0.32181739807128906
data/example/single_test/arch/arch24847, solver: z3, result: False, time:0.3201172351837158
data/example/single_test/arch/arch26626, solver: z3, result: False, time:0.6574912071228027
data/example/single_test/arch/arch24613, solver: z3, result: unknown, time:300.01226806640625
data/example/single_test/arch/arch20813, solver: z3, result: False, time:0.4692685604095459
data/example/single_test/arch/arch26458, solver: z3, result: False, time:0.26210880279541016
data/example/single_test/arch/arch24837, solver: z3, result: False, time:0.28678226470947266
data/example/single_test/arch/arch26478, solver: z3, result: False, time:0.3391714096069336
data/example/single_test/arch/arch23109, solver: z3, result: False, time:0.4585857391357422
data/example/single_test/arch/arch21484, solver: z3, result: False, time:0.29581785202026367
data/example/single_test/arch/arch22119, solver: z3, result: False, time:1.7127294540405273
data/example/single_test/arch/arch22620, solver: z3, result: False, time:16.41708731651306
data/example/single_test/arch/arch20237, solver: z3, result: False, time:0.2738957405090332
data/example/single_test/arch/arch20227, solver: z3, result: False, time:0.2605314254760742
data/example/single_test/arch/arch24533, solver: z3, result: False, time:0.48280906677246094
data/example/single_test/arch/arch21464, solver: z3, result: False, time:0.2697873115539551
data/example/single_test/arch/arch23079, solver: z3, result: False, time:0.47382521629333496
data/example/single_test/arch/arch25704, solver: z3, result: False, time:0.2585721015930176
data/example/single_test/arch/arch21494, solver: z3, result: False, time:0.3057866096496582
data/example/single_test/arch/arch27973, solver: z3, result: False, time:0.6765470504760742
data/example/single_test/arch/arch25884, solver: z3, result: False, time:0.3082561492919922
data/example/single_test/arch/arch27983, solver: z3, result: False, time:0.5742719173431396
data/example/single_test/arch/arch23099, solver: z3, result: False, time:0.5317106246948242
data/example/single_test/arch/arch26489, solver: z3, result: False, time:0.46688365936279297
data/example/single_test/arch/arch28800, solver: z3, result: False, time:0.3265202045440674
data/example/single_test/arch/arch28824, solver: z3, result: False, time:0.6873750686645508
data/example/single_test/arch/arch21474, solver: z3, result: False, time:0.28371262550354004
data/example/single_test/arch/arch21518, solver: z3, result: False, time:0.7234485149383545
data/example/single_test/arch/arch25745, solver: z3, result: False, time:0.4736297130584717
data/example/single_test/arch/arch27037, solver: z3, result: unknown, time:300.00927662849426
data/example/single_test/arch/arch25714, solver: z3, result: False, time:0.27054572105407715
data/example/single_test/arch/arch25724, solver: z3, result: False, time:0.2899966239929199
data/example/single_test/arch/arch20666, solver: z3, result: False, time:0.30140089988708496
data/example/single_test/arch/arch26636, solver: z3, result: False, time:0.5662147998809814
data/example/single_test/arch/arch21240, solver: z3, result: unknown, time:300.00901556015015
data/example/single_test/arch/arch24512, solver: z3, result: False, time:0.3548154830932617
data/example/single_test/arch/arch20257, solver: z3, result: False, time:0.3717219829559326
data/example/single_test/arch/arch25734, solver: z3, result: False, time:0.4115777015686035
data/example/single_test/arch/arch17754, solver: z3, result: False, time:11.828575611114502
data/example/single_test/arch/arch22441, solver: z3, result: False, time:13.897669792175293
data/example/single_test/arch/arch20352, solver: z3, result: unknown, time:300.0099685192108
data/example/single_test/arch/arch25825, solver: z3, result: unknown, time:300.0082275867462
data/example/single_test/head/head196681, solver: z3, result: True, time:1.4007112979888916
data/example/single_test/arch/arch26575, solver: z3, result: unknown, time:300.0073435306549
data/example/single_test/head/head100844, solver: z3, result: True, time:45.275710582733154
data/example/single_test/head/head257745, solver: z3, result: False, time:12.76421856880188
data/example/single_test/arch/arch15998, solver: z3, result: unknown, time:300.0074188709259
data/example/single_test/head/head181829, solver: z3, result: True, time:0.45026254653930664
data/example/single_test/head/head83717, solver: z3, result: unknown, time:300.00734281539917
data/example/single_test/head/head121156, solver: z3, result: unknown, time:300.0075888633728
data/example/single_test/head/head128042, solver: z3, result: unknown, time:300.00771284103394
data/example/single_test/head/head168121, solver: z3, result: unknown, time:300.00764179229736
data/example/single_test/head/head204508, solver: z3, result: unknown, time:300.0074577331543
data/example/single_test/head/head255695, solver: z3, result: False, time:13.841714143753052
data/example/single_test/head/head50199, solver: z3, result: unknown, time:300.00891971588135
data/example/single_test/head/head85769, solver: z3, result: True, time:2.512263774871826
data/example/single_test/head/head156681, solver: z3, result: unknown, time:300.00789308547974
data/example/single_test/head/head45788, solver: z3, result: False, time:163.47027730941772
data/example/single_test/head/head291152, solver: z3, result: False, time:251.05675387382507
data/example/single_test/head/head247827, solver: z3, result: True, time:16.895507335662842
data/example/single_test/head/head49520, solver: z3, result: unknown, time:300.00785541534424
data/example/single_test/head/head234466, solver: z3, result: True, time:2.9184770584106445
data/example/single_test/head/head153433, solver: z3, result: unknown, time:300.00816822052
data/example/single_test/head/head213584, solver: z3, result: unknown, time:300.0101263523102
data/example/single_test/head/head84948, solver: z3, result: unknown, time:300.0083363056183
data/example/single_test/head/head175722, solver: z3, result: True, time:0.5397906303405762
data/example/single_test/head/head46216, solver: z3, result: False, time:216.55604100227356
data/example/single_test/head/head113637, solver: z3, result: unknown, time:300.00834035873413
data/example/single_test/head/head252659, solver: z3, result: True, time:19.082234144210815
data/example/single_test/head/head291682, solver: z3, result: True, time:20.199453353881836
data/example/single_test/head/head260692, solver: z3, result: False, time:8.124431848526001
data/example/single_test/head/head57590, solver: z3, result: False, time:1.170170545578003
data/example/single_test/head/head73089, solver: z3, result: unknown, time:300.0083248615265
data/example/single_test/head/head53264, solver: z3, result: unknown, time:300.01583671569824
data/example/single_test/head/head92712, solver: z3, result: True, time:0.9862351417541504
data/example/single_test/head/head70356, solver: z3, result: unknown, time:300.007746219635
data/example/single_test/head/head165598, solver: z3, result: unknown, time:300.00920724868774
data/example/single_test/head/head88587, solver: z3, result: True, time:2.5450334548950195
data/example/single_test/head/head202823, solver: z3, result: unknown, time:300.0090582370758
data/example/single_test/head/head175408, solver: z3, result: unknown, time:300.0105218887329
data/example/single_test/head/head61075, solver: z3, result: True, time:136.38745045661926
data/example/single_test/head/head260307, solver: z3, result: False, time:132.29871821403503
data/example/single_test/head/head162229, solver: z3, result: unknown, time:300.0085139274597
data/example/single_test/head/head195713, solver: z3, result: unknown, time:300.0107853412628
data/example/single_test/head/head80552, solver: z3, result: True, time:3.3289895057678223
data/example/single_test/head/head177592, solver: z3, result: unknown, time:300.0118727684021
data/example/single_test/head/head86683, solver: z3, result: unknown, time:300.00907158851624
data/example/single_test/head/head168758, solver: z3, result: unknown, time:300.0089364051819
data/example/single_test/head/head46909, solver: z3, result: unknown, time:300.01251912117004
